Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
"The Roman Empire: Rise, Governance, and Fall",https://smarticle.tech/en/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,Roman Stoicism: being lectures on the history of the Stoic philosophy with special reference to its development within the Roman Empire,https://www.gutenberg.org/ebooks/64488,"Roman Stoicism: being lectures on the history of the Stoic philosophy with special reference to its development within the Roman Empire. by Arnold, Edward Vernon. — Project Gutenberg"
"The Roman Empire: Rise, Governance, and Fall",https://smarticle.tech/en/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 2,https://www.gutenberg.org/ebooks/732,"History of the Decline and Fall of the Roman Empire — Volume 2. by Gibbon, Edward. — Project Gutenberg"
"The Roman Empire: Rise, Governance, and Fall",https://smarticle.tech/en/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 3,https://www.gutenberg.org/ebooks/733,"History of the Decline and Fall of the Roman Empire — Volume 3. by Gibbon, Edward. — Project Gutenberg"
"The Roman Empire: Rise, Governance, and Fall",https://smarticle.tech/en/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 1,https://www.gutenberg.org/ebooks/731,"History of the Decline and Fall of the Roman Empire — Volume 1. by Gibbon, Edward. — Project Gutenberg"
"The Roman Empire: Rise, Governance, and Fall",https://smarticle.tech/en/article/the-roman-empire-rise-governance-and-fall-202605120538,Ancient Civilizations,History of the Decline and Fall of the Roman Empire — Volume 6,https://www.gutenberg.org/ebooks/736,"History of the Decline and Fall of the Roman Empire — Volume 6. by Gibbon, Edward. — Project Gutenberg"
"Ancient Egyptian Civilization: Society, Religion, and Legacy",https://smarticle.tech/en/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,Bible,https://archive.org/details/holybiblesoarran01unse,Bible. by Bible. (1200). — E.F. Backus. ISBN: 0564069019
"Ancient Egyptian Civilization: Society, Religion, and Legacy",https://smarticle.tech/en/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,The ancient Egyptians,https://archive.org/details/ancientegyptians0000kami_s9w6,The ancient Egyptians. by Jill Kamil. (1976). — Amer Univ in Cairo Pr. ISBN: 9774240510
"Ancient Egyptian Civilization: Society, Religion, and Legacy",https://smarticle.tech/en/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,An Introduction to Ancient Egypt,https://archive.org/details/introductiontoan0000jame_u6r2,An Introduction to Ancient Egypt. by T. G. H. James. (1979). — Farrar Straus Giroux. ISBN: 0809590840
"Ancient Egyptian Civilization: Society, Religion, and Legacy",https://smarticle.tech/en/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,The Egyptians,https://openlibrary.org/works/OL5713802W,The Egyptians. by Robert Morkot. (2004). — Taylor & Francis Group. ISBN: 0203486536
"Ancient Egyptian Civilization: Society, Religion, and Legacy",https://smarticle.tech/en/article/ancient-egyptian-civilization-society-religion-and-legacy-202605120549,Ancient Civilizations,The Egyptian Book of the dead,https://archive.org/details/egyptianbookofde0000unse,"The Egyptian Book of the dead. by Raymond Oliver Faulkner, Goelet, Ogden Jr, Eva Von Dassow. (1994). — Chronicle Books. ISBN: 0811807924"
