Academic Concept (EN),Academic Concept (AR),Concept URL (EN),Concept URL (AR),Subcategory,Reference Title,Reference URL,Citation (EN),Citation (AR)
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Γοργίας,https://archive.org/details/georgias00plat,Γοργίας. by Πλάτων. (1827). — Liberal Arts Press. ISBN: 9780371868508,Γοργίας. بقلم Πλάτων. (1827). — Liberal Arts Press. ردمك: 9780371868508
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Συμπόσιον,https://archive.org/details/uvrescompltes42plat,Συμπόσιον. by Πλάτων. (1559). — In Libraria Orphanotrophei. ISBN: 9781504052207,Συμπόσιον. بقلم Πλάτων. (1559). — In Libraria Orphanotrophei. ردمك: 9781504052207
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Φαίδων,https://archive.org/details/uvrescompltes41plat,Φαίδων. by Πλάτων. (1713). — J. Allyn. ISBN: 1543267645,Φαίδων. بقلم Πλάτων. (1713). — J. Allyn. ردمك: 1543267645
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Ἀπολογία Σωκράτους,https://archive.org/details/platonisapologia00plat,Ἀπολογία Σωκράτους. by Πλάτων. (1675). — NuVision Publications. ISBN: 1090371497,Ἀπολογία Σωκράτους. بقلم Πλάτων. (1675). — NuVision Publications. ردمك: 1090371497
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,πολιτεία,https://archive.org/details/republicofplat00plat,πολιτεία. by Πλάτων. (1554). — Namaskar Books. ISBN: 9603520950,πολιτεία. بقلم Πλάτων. (1554). — Namaskar Books. ردمك: 9603520950
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Select works of Porphyry : $b Containing his four books on abstinence from animal food; his treatise on the Homeric cave of the nymphs; and his Auxili,https://www.gutenberg.org/ebooks/77014,"Select works of Porphyry : $b Containing his four books on abstinence from animal food; his treatise on the Homeric cave of the nymphs; and his Auxiliaries to the perception of intelligible natures. With an appendix, explaining the allegory of the wandering of Ulysses. by Porphyry. — Project Gutenberg","Select works of Porphyry : $b Containing his four books on abstinence from animal food; his treatise on the Homeric cave of the nymphs; and his Auxiliaries to the perception of intelligible natures. With an appendix, explaining the allegory of the wandering of Ulysses. بقلم Porphyry. — Project Gutenberg"
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,"The six books of Proclus, the Platonic successor, on the theology of Plato (vol. 1 of 2) : $b  translated from the Greek, to which a seventh book is a",https://www.gutenberg.org/ebooks/77393,"The six books of Proclus, the Platonic successor, on the theology of Plato (vol. 1 of 2) : $b  translated from the Greek, to which a seventh book is added, in order to supply the deficiency of another book on this subject, which was written by Proclus, but since lost, also, a translation from the Greek of Proclus' Elements of theology, to which are added a translation of the treatise of Proclus, On providence and fate, a translation of extracts from his treatise, entitled, Ten doubts concerning providence, and a translation of extracts from his treatise on the subsistence of evil; as preserved in the Bibliotheca Gr. of Fabricus. by Proclus. — Project Gutenberg","The six books of Proclus, the Platonic successor, on the theology of Plato (vol. 1 of 2) : $b  translated from the Greek, to which a seventh book is added, in order to supply the deficiency of another book on this subject, which was written by Proclus, but since lost, also, a translation from the Greek of Proclus' Elements of theology, to which are added a translation of the treatise of Proclus, On providence and fate, a translation of extracts from his treatise, entitled, Ten doubts concerning providence, and a translation of extracts from his treatise on the subsistence of evil; as preserved in the Bibliotheca Gr. of Fabricus. بقلم Proclus. — Project Gutenberg"
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Plato and Platonism,https://www.gutenberg.org/ebooks/4095,"Plato and Platonism. by Pater, Walter. — Project Gutenberg","Plato and Platonism. بقلم Pater, Walter. — Project Gutenberg"
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,"De Amicitia, Scipio's Dream",https://www.gutenberg.org/ebooks/7491,"De Amicitia, Scipio's Dream. by Cicero, Marcus Tullius. — Project Gutenberg","De Amicitia, Scipio's Dream. بقلم Cicero, Marcus Tullius. — Project Gutenberg"
Platonic Idealism: The Theory of Forms and the Nature of Reality,المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/en/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Forms and Structure in Plato's Metaphysics,https://doi.org/10.1093/oso/9780197577158.001.0001,"A. Marmodoro. ""Forms and Structure in Plato's Metaphysics"". semantic_scholar_foundational, 2021.","أ. مارمودورو. ""الأشكال والتركيب في ميتافيزيقا أفلاطون"". semantic_scholar_foundational، 2021."
"Aristotelian Logic, Metaphysics, and the Four Causes",المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/en/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,La Poetica,https://archive.org/details/metaphysicsofari00aris,"La Poetica. by Aristotle. (1479). — Ediciones de la Biblioteca, Universidad Central de Venezuela. ISBN: 0140446192","La Poetica. بقلم Aristotle. (1479). — Ediciones de la Biblioteca, Universidad Central de Venezuela. ردمك: 0140446192"
"Aristotelian Logic, Metaphysics, and the Four Causes",المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/en/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,An essay on metaphysics,https://archive.org/details/essayonmetaphysi0000coll,"An essay on metaphysics. by R. G. Collingwood. (1940). — Oxford University Press, USA. ISBN: 9780819133151","An essay on metaphysics. بقلم R. G. Collingwood. (1940). — Oxford University Press, USA. ردمك: 9780819133151"
"Aristotelian Logic, Metaphysics, and the Four Causes",المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/en/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,Isagoge,https://openlibrary.org/works/OL1225890W,Isagoge. by Porphyry. (1887). — Liviana. ISBN: 2711613445,Isagoge. بقلم Porphyry. (1887). — Liviana. ردمك: 2711613445
"Aristotelian Logic, Metaphysics, and the Four Causes",المنطق الأرسطي والميتافيزيقا والأسباب الأربعة,https://smarticle.tech/en/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,https://smarticle.tech/ar/article/aristotelian-logic-metaphysics-and-the-four-causes-202605121252,Ancient Philosophy,Alexander of Aphrodisias,https://openlibrary.org/works/OL21043483W,"Alexander of Aphrodisias. by E. W. Dooley, E. W. Dooley, Michael Griffin. (2014). — Bloomsbury Academic. ISBN: 1306720435",Alexander of Aphrodisias. بقلم E. W. Dooley، E. W. Dooley، Michael Griffin. (2014). — Bloomsbury Academic. ردمك: 1306720435
