Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
Abstract Algebra and Group Theory,https://smarticle.tech/en/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Modern algebra,https://archive.org/details/modernalgebraint0000durb_u7f2,Modern algebra. by John R. Durbin. (1978). — Wiley. ISBN: 0471433357
Abstract Algebra and Group Theory,https://smarticle.tech/en/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Moderne Algebra,https://archive.org/details/algebra01waer,Moderne Algebra. by Bartel Leendert van der Waerden. (1930). — UNKNO. ISBN: 9780387974255
Abstract Algebra and Group Theory,https://smarticle.tech/en/article/abstract-algebra-and-group-theory-202605120359,Mathematics,A Survey of Modern Algebra,https://archive.org/details/surveyofmodernal0000birk,"A Survey of Modern Algebra. by Garrett Birkhoff, Saunders Mac Lane. (1941). — Macmillan. ISBN: 0023100702"
Abstract Algebra and Group Theory,https://smarticle.tech/en/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Algebra in Action,https://archive.org/details/algebrainactionc0000shah,Algebra in Action. by Shahriar Shahriari. (2017). — American Mathematical Society. ISBN: 1470428490
Abstract Algebra and Group Theory,https://smarticle.tech/en/article/abstract-algebra-and-group-theory-202605120359,Mathematics,"ELEMENTARY CONCEPTS OF ABSTRACT ALGEBRAS1)1)An exposition of abstract algebra may be found in P. M. Cohn, Universal algebra, New York 1965, or in G. G",https://doi.org/10.1016/b978-0-7204-2067-8.50018-0,"Rasiowa, Helena. ""Elementary concepts of abstract algebras"". crossref, 1973."
Abstract Algebra and Group Theory,https://smarticle.tech/en/article/abstract-algebra-and-group-theory-202605120359,Mathematics,Emmy Noether and the Advent of Abstract Algebra,https://doi.org/10.1007/978-0-8176-4685-1_6,"Israel Kleiner. ""Emmy Noether and the Advent of Abstract Algebra"". crossref, 2007."
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,Philosophiae naturalis principia mathematica,https://archive.org/details/philosophiaenat00newt,Philosophiae naturalis principia mathematica. by Sir Isaac Newton. (1687). — apud Guil. & Joh. Innys. ISBN: 9781888009002
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,A course of modern analysis,https://archive.org/details/courseofmodernan00whituoft,"A course of modern analysis. by E. T. Whittaker, G. N. Watson. (1902). — University press. ISBN: 9780342601172"
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,Calculus,https://archive.org/details/calculus0000apos,Calculus. by Tom M. Apostol. (1961). — John Wiley & Sons Inc. ISBN: 9780536000064
Calculus and Real Analysis,https://smarticle.tech/en/article/calculus-and-real-analysis-202605120409,Mathematics,Introductory Mathematical Analysis,https://archive.org/details/introductorymath0000haeu_v9a2,"Introductory Mathematical Analysis. by Ernest F. Haeussler, Richard S. Paul. (1973). — Longman Higher Education. ISBN: 0139798668"
