Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Open Labs and Innovation Management,https://openlibrary.org/works/OL28024985W,"Open Labs and Innovation Management. by Valérie Mérindol, David W. Versailles. (2022). — Taylor & Francis Group. ISBN: 9781000776348"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Chinese Universities in the National Innovation System,https://openlibrary.org/works/OL25316929W,"Chinese Universities in the National Innovation System. by Yi Gaofeng, Venni V. Krishna, Xinpei Zhang. (2021). — Taylor & Francis Group. ISBN: 1000424618"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Innovation in Africa,https://openlibrary.org/works/OL25258691W,Innovation in Africa. by Deseye Umurhohwo. (2020). — Taylor & Francis Group. ISBN: 9781000327304
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Social Entrepreneurship and Social Innovation,https://openlibrary.org/works/OL25743720W,"Social Entrepreneurship and Social Innovation. by Mario Biggeri, Enrico Testi, Marco Belluci. (2018). — Taylor & Francis Group. ISBN: 1351239015"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Handbook of Research on Entrepreneurial Ecosystems and Social Dynamics in a Globalized World,https://openlibrary.org/works/OL27391923W,Handbook of Research on Entrepreneurial Ecosystems and Social Dynamics in a Globalized World. by Luisa Carvalho. (2017). — IGI Global. ISBN: 9781522535270
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Software ecosystems,https://openlibrary.org/works/OL23272672W,"Software ecosystems. by Slinger Jansen, Michael A. Cusumano, Sjaak Brinkkemper. (2013). — Elgar Publishing, Incorporated, Edward. ISBN: 1781955638"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,"Handbook of Research on Techno-Entrepreneurship, Third Edition",https://openlibrary.org/works/OL25785309W,"Handbook of Research on Techno-Entrepreneurship, Third Edition. by François Thérin, Francesco P. Appio, Hyungseok Yoon. (2019). — Elgar Publishing Limited, Edward. ISBN: 9781786439062"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Cases in Entrepreneurship,https://openlibrary.org/works/OL8433206M,"Cases in Entrepreneurship. by Unknown Author. (2005). — Sage Publications, Inc. ISBN: 9781412909761"
"Startup Ecosystems: Venture Capital, Incubators, and the Innovation Economy",https://smarticle.tech/en/article/startup-ecosystems-venture-capital-incubators-and-the-innovation-economy-202605130621,Entrepreneurship,Venture Capital and Startup Agglomeration,https://doi.org/10.31235/osf.io/8tpux,"Chen, Jun; Ewens, Michael. ""Venture Capital and Startup Agglomeration"". crossref, 2021."
"Innovation Management: Disruptive Innovation, R&D Strategy, and Open Innovation",https://smarticle.tech/en/article/innovation-management-disruptive-innovation-r-d-strategy-and-open-innovatio-202605130636,Entrepreneurship,The Prince,https://archive.org/details/machiavelli00machuoft,The Prince. by Niccolò Machiavelli. (1515). — 1st World Library - Literary Society. ISBN: 9781582873268
"Innovation Management: Disruptive Innovation, R&D Strategy, and Open Innovation",https://smarticle.tech/en/article/innovation-management-disruptive-innovation-r-d-strategy-and-open-innovatio-202605130636,Entrepreneurship,NASA/DoD aerospace knowledge diffusion research project,https://openlibrary.org/works/OL8894965W,"NASA/DoD aerospace knowledge diffusion research project. by Thomas E. Pinelli. (1990). — National Technical Information Service, distributor"
"Innovation Management: Disruptive Innovation, R&D Strategy, and Open Innovation",https://smarticle.tech/en/article/innovation-management-disruptive-innovation-r-d-strategy-and-open-innovatio-202605130636,Entrepreneurship,Managing Organizations,https://archive.org/details/managingorganiza0000cleg_t5s4,"Managing Organizations. by Stewart R. Clegg, Cynthia Hardy, Walter R. Nord. (1999). — SAGE Publications, Limited. ISBN: 9781529763881"
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,Global entrepreneurship,https://archive.org/details/globalentreprene0000kshe,Global entrepreneurship. by Nir Kshetri. (2014). — Routledge. ISBN: 1315795604
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,The Entrepreneurial Society,https://openlibrary.org/works/OL20822495W,"The Entrepreneurial Society. by Niklas Elert, Magnus Henrekson, Mark Sanders. (2019). — Springer Nature. ISBN: 3662610094"
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,Multi Business Model Innovation Approach,https://openlibrary.org/works/OL21161693W,Multi Business Model Innovation Approach. by Peter Lindgren. (2018). — River Publishers. ISBN: 9781003339755
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,Strategy formulation in entrepreneurial firms,https://openlibrary.org/works/OL9491533W,Strategy formulation in entrepreneurial firms. by Azhdar Karami. (2007). — Ashgate Publishing. ISBN: 9781317049319
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,Entrepreneurship as strategy,https://archive.org/details/entrepreneurship0000unse_o9u5,"Entrepreneurship as strategy. by G. Dale Meyer, Kurt Allen Heppard. (2000). — Sage Publications. ISBN: 076191580X"
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,The entrepreneurial strategy matrix: A model for new and ongoing ventures,https://doi.org/10.1016/s0007-6813(97)90055-0,"Sonfield, Matthew C., and Robert N. Lussier. ""The entrepreneurial strategy matrix: A model for new and ongoing ventures"". *crossref*, 1997."
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,Competitive strategy: dynamics of positioning,https://doi.org/10.4324/9780080503349-18,"S MATHUR. ""Competitive strategy: dynamics of positioning"". crossref, 2001."
Entrepreneurial Strategy: Business Model Design and Competitive Positioning,https://smarticle.tech/en/article/entrepreneurial-strategy-business-model-design-and-competitive-positioning-202605150317,Entrepreneurship,Understanding Competitive Positioning and Strategy,https://doi.org/10.1016/b978-0-7506-5363-3.50009-1,"S MATHUR. ""Understanding Competitive Positioning and Strategy"". crossref, 2001."
