Academic Concept (EN),Academic Concept (AR),Concept URL (EN),Concept URL (AR),Subcategory,Reference Title,Reference URL,Citation (EN),Citation (AR)
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Himalaya,https://openlibrary.org/works/OL36175641W,"Himalaya. by Rodolphe Cattin, Jean-Luc Epard. (2023). — Wiley & Sons, Incorporated, John. ISBN: 1394228600","Himalaya. بقلم Rodolphe Cattin، Jean-Luc Epard. (2023). — Wiley & Sons, Incorporated, John. ردمك: 1394228600"
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Geomechanics and Geodynamics of Rock Masses,https://openlibrary.org/works/OL21345683W,Geomechanics and Geodynamics of Rock Masses. by Vladimir Litvinenko. (2018). — Taylor & Francis Group. ISBN: 0429830041,Geomechanics and Geodynamics of Rock Masses. بقلم Vladimir Litvinenko. (2018). — Taylor & Francis Group. ردمك: 0429830041
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Proceedings of the 30th International Geological Congress,https://openlibrary.org/works/OL942035W,"Proceedings of the 30th International Geological Congress. by International Geological Congress (30th 1996 Beijing, China). (1997). — Brill Academic Publishers. ISBN: 9789067642415","Proceedings of the 30th International Geological Congress. بقلم International Geological Congress (30th 1996 Beijing, China). (1997). — Brill Academic Publishers. ردمك: 9789067642415"
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Earth's dynamic systems,https://archive.org/details/earthsdynamicsys0000hamb,Earth's dynamic systems. by W. Kenneth Hamblin. (1975). — Burgess Pub. Co.. ISBN: 9780808747420,Earth's dynamic systems. بقلم W. Kenneth Hamblin. (1975). — Burgess Pub. Co.. ردمك: 9780808747420
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Introduction to Earth Science,https://openlibrary.org/works/OL34329287W,Introduction to Earth Science. by Michael Anderson. (2011). — Rosen Publishing Group. ISBN: 1283079305,Introduction to Earth Science. بقلم Michael Anderson. (2011). — Rosen Publishing Group. ردمك: 1283079305
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Continental Drift—The Road to Plate Tectonics,https://doi.org/10.1093/oso/9780195165890.003.0003,"Rogers, John J. W., and M. Santosh. ""Continental Drift—The Road to Plate Tectonics"". crossref, 2004.","روجرز، جون ج. دبليو، وسانتوش، م. ""الانجراف القاري—الطريق إلى تكتونيات الصفائح"". *كروسريف*، 2004."
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,"Contractional theory, continental drift and plate tectonics",https://doi.org/10.1007/978-3-540-76504-2_1,"Frisch, Wolfgang; Meschede, Martin; Blakey, Ronald. ""Contractional theory, continental drift and plate tectonics"". *crossref*, 2010.","فريش، فولفغانغ؛ ميشيده، مارتن؛ بلاكي، رونالد. ""النظرية الانكماشية، والانجراف القاري، وتكتونيات الصفائح"". *كروسريف*، 2010."
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,The birth of plate tectonics,https://doi.org/10.1017/cbo9781139095938.009,"Henry R. Frankel. ""The birth of plate tectonics"". crossref, 2012.","فرانكل، هنري آر. ""نشأة تكتونيات الصفائح"". *كروسريف*، 2012."
Plate Tectonics and the Geological Formation of Earth's Continents,تكتونيات الصفائح وتكوين القارات الأرضية جيولوجيًا.,https://smarticle.tech/en/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,https://smarticle.tech/ar/article/plate-tectonics-and-the-geological-formation-of-earth-s-continents-202605130455,Continents,Plate Tectonics and Continental Drift,https://doi.org/10.1016/b978-0-08-028076-9.50013-8,"Condie K.C. ""Plate Tectonics and Continental Drift"". crossref, 1982.","كونداي، ك. سي. ""تكتونيات الصفائح والانجراف القاري"". *كروسريف*، 1982."
"Physical Geography of Africa: Landscape, Climate Zones, and Bioregions",الجغرافيا الطبيعية لأفريقيا: التضاريس، مناطق المناخ، والمناطق البيولوجية.,https://smarticle.tech/en/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,https://smarticle.tech/ar/article/physical-geography-of-africa-landscape-climate-zones-and-bioregions-202605140924,Continents,Universal Geography,https://openlibrary.org/works/OL24374239W,Universal Geography. by Conrad Malte-Brun. (2015). — Franklin Classics. ISBN: 9781343667044,Universal Geography. بقلم Conrad Malte-Brun. (2015). — Franklin Classics. ردمك: 9781343667044
