Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
History and Evolution of the Arabic Language,https://smarticle.tech/en/article/history-and-evolution-of-the-arabic-language-202605120656,Arabic Spelling,Middle East patterns,https://archive.org/details/middleeastpatter00held_0,Middle East patterns. by Colbert C. Held. (1989). — Westview Press. ISBN: 0813382211
History and Evolution of the Arabic Language,https://smarticle.tech/en/article/history-and-evolution-of-the-arabic-language-202605120656,Arabic Spelling,Language and change in the Arab Middle East,https://openlibrary.org/works/OL889539W,Language and change in the Arab Middle East. by Ami Ayalon. (1987). — Oxford University Press. ISBN: 1280523166
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,Lughatuna Al-Fusha : A New Course in Modern Standard Arabic,https://openlibrary.org/works/OL21053291W,Lughatuna Al-Fusha : A New Course in Modern Standard Arabic. by Samia Louis. (2013). — American University in Cairo Press. ISBN: 9789774167126
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,Lughatuna al-Fusha,https://openlibrary.org/works/OL23400472W,Lughatuna al-Fusha. by Samia Louis. (2014). — The American University in Cairo Press. ISBN: 9789774166198
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,Lughatuna al-fuṣḥa,https://openlibrary.org/works/OL16367856W,Lughatuna al-fuṣḥa. by Samia Louis. (2011). — American University in Cairo Press. ISBN: 9789774163920
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,al-Qāmūsīyah al-ʻArabīyah al-ḥadīthah,https://openlibrary.org/works/OL32526720W,al-Qāmūsīyah al-ʻArabīyah al-ḥadīthah. by ʻAbd al-ʻĀlī Wadghīrī. (2019). — al-Markaz al-ʻArabī lil-Abḥāth wa-Dirāsat al-Siyāsāt. ISBN: 6144452931
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,al-Fuṣḥá wa-al-ʻāmmīyah wa-ʻalāqatuhumā fī istiʻmālāt al-nāṭiqīn al-Jazāʼirīyīn,https://openlibrary.org/works/OL22613933W,al-Fuṣḥá wa-al-ʻāmmīyah wa-ʻalāqatuhumā fī istiʻmālāt al-nāṭiqīn al-Jazāʼirīyīn. by Sihām Mādin. (2011). — Muʼassasat Kunūz al-Ḥikmah. ISBN: 9789931318170
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,اللغة الفصحى والعامية,https://openlibrary.org/works/OL42526387W,اللغة الفصحى والعامية. by عطوات، محمد عبد عبد الله. (2003). — Dār al-Nahḍah al-ʻArabīyah
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,Qāḍīyat al-taḥawwul ilá al-fuṣḥá fī al-ʻālam al-ʻArabī al-ḥadīth,https://openlibrary.org/works/OL4767272W,Qāḍīyat al-taḥawwul ilá al-fuṣḥá fī al-ʻālam al-ʻArabī al-ḥadīth. by Nuhād Mūsá. (1987). — Dār al-Fikr
Classical Arabic (Fusha): Linguistic Features and Standardisation,https://smarticle.tech/en/article/classical-arabic-fusha-linguistic-features-and-standardisation-202605120703,Arabic Grammar,The Classical Arabic Lexicographical Tradition,https://doi.org/10.1093/oxfordhb/9780199764136.013.0023,"Solomon Sara. ""The Classical Arabic Lexicographical Tradition"". *Oxford Handbook of Arabic Linguistics*, 2013."
