المفهوم الأكاديمي,رابط المفهوم على سمارتيكل,التخصص الفرعي,عنوان المرجع الأكاديمي,رابط المرجع المباشر,التوثيق المنسق
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Γοργίας,https://archive.org/details/georgias00plat,Γοργίας. بقلم Πλάτων. (1827). — Liberal Arts Press. ردمك: 9780371868508
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Συμπόσιον,https://archive.org/details/uvrescompltes42plat,Συμπόσιον. بقلم Πλάτων. (1559). — In Libraria Orphanotrophei. ردمك: 9781504052207
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Φαίδων,https://archive.org/details/uvrescompltes41plat,Φαίδων. بقلم Πλάτων. (1713). — J. Allyn. ردمك: 1543267645
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Ἀπολογία Σωκράτους,https://archive.org/details/platonisapologia00plat,Ἀπολογία Σωκράτους. بقلم Πλάτων. (1675). — NuVision Publications. ردمك: 1090371497
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,πολιτεία,https://archive.org/details/republicofplat00plat,πολιτεία. بقلم Πλάτων. (1554). — Namaskar Books. ردمك: 9603520950
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Select works of Porphyry : $b Containing his four books on abstinence from animal food; his treatise on the Homeric cave of the nymphs; and his Auxili,https://www.gutenberg.org/ebooks/77014,"Select works of Porphyry : $b Containing his four books on abstinence from animal food; his treatise on the Homeric cave of the nymphs; and his Auxiliaries to the perception of intelligible natures. With an appendix, explaining the allegory of the wandering of Ulysses. بقلم Porphyry. — Project Gutenberg"
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,"The six books of Proclus, the Platonic successor, on the theology of Plato (vol. 1 of 2) : $b  translated from the Greek, to which a seventh book is a",https://www.gutenberg.org/ebooks/77393,"The six books of Proclus, the Platonic successor, on the theology of Plato (vol. 1 of 2) : $b  translated from the Greek, to which a seventh book is added, in order to supply the deficiency of another book on this subject, which was written by Proclus, but since lost, also, a translation from the Greek of Proclus' Elements of theology, to which are added a translation of the treatise of Proclus, On providence and fate, a translation of extracts from his treatise, entitled, Ten doubts concerning providence, and a translation of extracts from his treatise on the subsistence of evil; as preserved in the Bibliotheca Gr. of Fabricus. بقلم Proclus. — Project Gutenberg"
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Plato and Platonism,https://www.gutenberg.org/ebooks/4095,"Plato and Platonism. بقلم Pater, Walter. — Project Gutenberg"
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,"De Amicitia, Scipio's Dream",https://www.gutenberg.org/ebooks/7491,"De Amicitia, Scipio's Dream. بقلم Cicero, Marcus Tullius. — Project Gutenberg"
المثالية الأفلاطونية: نظرية الأشكال وطبيعة الواقع.,https://smarticle.tech/ar/article/platonic-idealism-the-theory-of-forms-and-the-nature-of-reality-202605121244,Ancient Philosophy,Forms and Structure in Plato's Metaphysics,https://doi.org/10.1093/oso/9780197577158.001.0001,"أ. مارمودورو. ""الأشكال والتركيب في ميتافيزيقا أفلاطون"". semantic_scholar_foundational، 2021."
