Academic Concept (EN),Academic Concept (AR),Concept URL (EN),Concept URL (AR),Subcategory,Reference Title,Reference URL,Citation (EN),Citation (AR)
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Patterns,https://archive.org/details/patternsserviceo00redb,Patterns. by IBM Redbooks. (2002). — International Technical Support Organization. ISBN: 9780738495910,Patterns. بقلم IBM Redbooks. (2002). — International Technical Support Organization. ردمك: 9780738495910
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Patterns of Enterprise Application Architecture,https://openlibrary.org/works/OL463952W,Patterns of Enterprise Application Architecture. by Martin Fowler. (2002). — Pearsonn. ISBN: 9788131794029,Patterns of Enterprise Application Architecture. بقلم Martin Fowler. (2002). — Pearsonn. ردمك: 9788131794029
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Introduction to Software Architecture,https://openlibrary.org/works/OL34029102W,"Introduction to Software Architecture. by Adrian Ostrowski, Piotr Gaczkowski. (2022). — Packt Publishing, Limited. ISBN: 9781837635337","Introduction to Software Architecture. بقلم Adrian Ostrowski، Piotr Gaczkowski. (2022). — Packt Publishing, Limited. ردمك: 9781837635337"
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Software modeling and design,https://openlibrary.org/works/OL19902765W,Software modeling and design. by Hassan Gomaa. (2010). — Cambridge University Press. ISBN: 1139040669,Software modeling and design. بقلم Hassan Gomaa. (2010). — Cambridge University Press. ردمك: 1139040669
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Software Architecture Design Patterns in Java,https://archive.org/details/softwarearchitec00kuch_302,"Software Architecture Design Patterns in Java. by Partha Kuchana. (2004). — Auerbach Publishers, Incorporated. ISBN: 0203496213","Software Architecture Design Patterns in Java. بقلم Partha Kuchana. (2004). — Auerbach Publishers, Incorporated. ردمك: 0203496213"
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,EJB design patterns,https://archive.org/details/ejbdesignpattern00mari,"EJB design patterns. by Floyd Marinescu. (2002). — Wiley & Sons, Incorporated, John. ISBN: 0470342498","EJB design patterns. بقلم Floyd Marinescu. (2002). — Wiley & Sons, Incorporated, John. ردمك: 0470342498"
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Tool-Based Software Engineering Education for Software Design Patterns and Software Architecture Patterns - a Systematic Literature Review,https://doi.org/10.1145/3593663.3593670,"Eigler, Tobias, Florian Huber, and Georg Hagel. ""Tool-Based Software Engineering Education for Software Design Patterns and Software Architecture Patterns - a Systematic Literature Review"". crossref, 2023.","إيغلر، توبياس، وفلوريان هوبر، وجورج هاغل. ""التعليم القائم على الأدوات لهندسة البرمجيات لأنماط تصميم البرمجيات وأنماط هندسة البرمجيات - مراجعة منهجية للأدب"". كروسريف، 2023."
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Frameworks and Patterns for Object Oriented Design,https://doi.org/10.1007/978-1-4471-0961-7_21,"Hunt, John. ""Frameworks and Patterns for Object Oriented Design"". crossref, 1997.","هانت، جون. ""الإطارات والأنماط لتصميم كائني التوجه"". كروسريف، 1997."
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Reverse Engineering Low-Level Design Patterns From Object-Oriented Code.,https://doi.org/10.31390/gradschool_disstheses.6163,"Shrivastava, Chandra. ""Reverse Engineering Low-Level Design Patterns From Object-Oriented Code"". crossref, 2021.","شريفاستافا، شاندرا. ""الهندسة العكسية لأنماط التصميم منخفضة المستوى من الكود كائني التوجه"". كروسريف، 2021."
Software Architecture and Design Patterns,معمارية البرمجيات وأنماط التصميم,https://smarticle.tech/en/article/software-architecture-and-design-patterns-202605121215,https://smarticle.tech/ar/article/software-architecture-and-design-patterns-202605121215,Programming,Meta patterns — A means for capturing the essentials of reusable object-oriented design,https://doi.org/10.1007/bfb0052181,"Pree, Wolfgang. ""Meta patterns — A means for capturing the essentials of reusable object-oriented design"". crossref, 1995.","بري، فولفغانغ. ""الأنماط العليا - وسيلة لالتقاط الجوهر في التصميم كائني التوجه القابل لإعادة الاستخدام"". كروسريف، 1995."
"Compiler Design: Lexing, Parsing, and Code Generation",تصميم المترجم: التحليل اللغوي، التحليل النحوي، وتوليد الشيفرة.,https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,https://smarticle.tech/ar/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,Evaluation of Novel Approaches to Software Engineering,https://openlibrary.org/works/OL19848676W,Evaluation of Novel Approaches to Software Engineering. by Leszek A. Maciaszek. (2011). — Springer International Publishing AG. ISBN: 3642233910,Evaluation of Novel Approaches to Software Engineering. بقلم Leszek A. Maciaszek. (2011). — Springer International Publishing AG. ردمك: 3642233910
"Compiler Design: Lexing, Parsing, and Code Generation",تصميم المترجم: التحليل اللغوي، التحليل النحوي، وتوليد الشيفرة.,https://smarticle.tech/en/article/compiler-design-lexing-parsing-and-code-generation-202605121224,https://smarticle.tech/ar/article/compiler-design-lexing-parsing-and-code-generation-202605121224,Programming,Reachability Problems,https://archive.org/details/reachabilityprob0000rpwo,"Reachability Problems. by Parosh Aziz Abdulla, Igor Potapov. (2010). — Springer London, Limited. ISBN: 9783030002497","Reachability Problems. بقلم Parosh Aziz Abdulla، Igor Potapov. (2010). — Springer London, Limited. ردمك: 9783030002497"
