المفهوم الأكاديمي,رابط المفهوم على سمارتيكل,التخصص الفرعي,عنوان المرجع الأكاديمي,رابط المرجع المباشر,التوثيق المنسق
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Mental Helth Workbook,https://openlibrary.org/works/OL31118330W,Mental Helth Workbook. بقلم Social World Press. (2021). — Independently Published. ردمك: 9798540341547
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Anxiety Management Workbook,https://openlibrary.org/works/OL30295449W,Anxiety Management Workbook. بقلم From Dyzamora. (2019). — Independently Published. ردمك: 9781705361146
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Cognitive-Behavioral Treatment for Generalized Anxiety Disorder,https://openlibrary.org/works/OL21227968W,Cognitive-Behavioral Treatment for Generalized Anxiety Disorder. بقلم Michel J. Dugas، Melisa Robichaud. (2006). — Brunner-Routledge. ردمك: 9781138888067
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Cognitive Behaviour Therapy,https://openlibrary.org/works/OL6031979W,Cognitive Behaviour Therapy. بقلم Michael Neenan. (2002). — Whurr Publishers. ردمك: 9781317648406
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Overcoming teenage low mood and depression,https://archive.org/details/overcomingteenag0000dumm,Overcoming teenage low mood and depression. بقلم Nicky Dummett، Christoper Williams. (2008). — Routledge. ردمك: 1444167499
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,The psychological treatment of depression,https://archive.org/details/psychologicaltre0000will,The psychological treatment of depression. بقلم J. Mark G. Williams. (1984). — Free Press. ردمك: 1280070714
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Introducing Cognitive Behavioral Therapy,https://openlibrary.org/works/OL29599098W,Introducing Cognitive Behavioral Therapy. بقلم Daniel Anderson. (2019). — Independently Published. ردمك: 9781796879117
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,The role of moral disengagement and cognitive distortions toward children among sex offenders,https://doi.org/10.1080/13218719.2018.1506718,"دور الانفصال الأخلاقي والتشوهات المعرفية تجاه الأطفال بين الجناة في الجرائم الجنسية. د’أورسو، ج.، بيتروتشيلي، إ.، كوستانتينو، ف.، زابولا، ك.، وبيس، و. ""دور الانفصال الأخلاقي والتشوهات المعرفية تجاه الأطفال بين الجناة في الجرائم الجنسية"". *semantic_scholar_foundational*، 2018."
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,"The Cognitive, Ecological, and Developmental Origins of Self-Disturbance in Borderline Personality Disorder",https://doi.org/10.3389/fpsyt.2021.707091,"الأصول المعرفية والبيئية والنمائية لاضطراب الذات في اضطراب الشخصية الحدية. بابتيستا، أ.، كوهين، د.، جاكيت، ب.، شامبون، ف. ""الأصول المعرفية والبيئية والنمائية لاضطراب الذات في اضطراب الشخصية الحدية"". *Frontiers in Psychiatry*، 2021."
علم النفس السلوكي المعرفي: أنماط التفكير، التشوهات، والعلاج.,https://smarticle.tech/ar/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Understanding and Managing Cognitive Distortions in Individuals With Schizophrenia,https://doi.org/10.7759/cureus.45268,"فهم وإدارة التشوهات المعرفية لدى الأفراد المصابين بالفصام. فيرما، ك. ""فهم وإدارة التشوهات المعرفية لدى الأفراد المصابين بالفصام"". *Cureus*، 2023."
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Représentation du monde chez l'enfant,https://archive.org/details/childsconception01piag,Représentation du monde chez l'enfant. بقلم Jean Piaget. (1929). — Littlefield Adams Quality Paperbacks. ردمك: 0742559513
علم النفس التطوري: بياجيه، فيغوتسكي، ومراحل التطور البشري.,https://smarticle.tech/ar/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Child development,https://archive.org/details/childdevelopment0007sant,Child development. بقلم John W. Santrock. (1989). — Brown & Benchmark Publishers. ردمك: 9780072967432
