Academic Concept,Concept URL,Subcategory,Reference Title,Reference URL,Citation
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Mental Helth Workbook,https://openlibrary.org/works/OL31118330W,Mental Helth Workbook. by Social World Press. (2021). — Independently Published. ISBN: 9798540341547
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Anxiety Management Workbook,https://openlibrary.org/works/OL30295449W,Anxiety Management Workbook. by From Dyzamora. (2019). — Independently Published. ISBN: 9781705361146
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Cognitive-Behavioral Treatment for Generalized Anxiety Disorder,https://openlibrary.org/works/OL21227968W,"Cognitive-Behavioral Treatment for Generalized Anxiety Disorder. by Michel J. Dugas, Melisa Robichaud. (2006). — Brunner-Routledge. ISBN: 9781138888067"
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Cognitive Behaviour Therapy,https://openlibrary.org/works/OL6031979W,Cognitive Behaviour Therapy. by Michael Neenan. (2002). — Whurr Publishers. ISBN: 9781317648406
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Overcoming teenage low mood and depression,https://archive.org/details/overcomingteenag0000dumm,"Overcoming teenage low mood and depression. by Nicky Dummett, Christoper Williams. (2008). — Routledge. ISBN: 1444167499"
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,The psychological treatment of depression,https://archive.org/details/psychologicaltre0000will,The psychological treatment of depression. by J. Mark G. Williams. (1984). — Free Press. ISBN: 1280070714
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Introducing Cognitive Behavioral Therapy,https://openlibrary.org/works/OL29599098W,Introducing Cognitive Behavioral Therapy. by Daniel Anderson. (2019). — Independently Published. ISBN: 9781796879117
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,The role of moral disengagement and cognitive distortions toward children among sex offenders,https://doi.org/10.1080/13218719.2018.1506718,"D’Urso, G., Petruccelli, I., Costantino, V., Zappulla, C., & Pace, U. ""The role of moral disengagement and cognitive distortions toward children among sex offenders"". semantic_scholar_foundational, 2018."
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,"The Cognitive, Ecological, and Developmental Origins of Self-Disturbance in Borderline Personality Disorder",https://doi.org/10.3389/fpsyt.2021.707091,"Baptista, A., Cohen, D., Jacquet, P., Chambon, V. ""The Cognitive, Ecological, and Developmental Origins of Self-Disturbance in Borderline Personality Disorder"". Frontiers in Psychiatry, 2021."
"Cognitive Behavioral Psychology: Thought Patterns, Distortions, and Therapy",https://smarticle.tech/en/article/cognitive-behavioral-psychology-thought-patterns-distortions-and-therapy-202605130119,Psychology,Understanding and Managing Cognitive Distortions in Individuals With Schizophrenia,https://doi.org/10.7759/cureus.45268,"K. Verma. ""Understanding and Managing Cognitive Distortions in Individuals With Schizophrenia"". Cureus, 2023."
"Developmental Psychology: Piaget, Vygotsky, and Stages of Human Development",https://smarticle.tech/en/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Représentation du monde chez l'enfant,https://archive.org/details/childsconception01piag,Représentation du monde chez l'enfant. by Jean Piaget. (1929). — Littlefield Adams Quality Paperbacks. ISBN: 0742559513
"Developmental Psychology: Piaget, Vygotsky, and Stages of Human Development",https://smarticle.tech/en/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Child development,https://archive.org/details/childdevelopment0007sant,Child development. by John W. Santrock. (1989). — Brown & Benchmark Publishers. ISBN: 9780072967432
"Developmental Psychology: Piaget, Vygotsky, and Stages of Human Development",https://smarticle.tech/en/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,How children develop,https://archive.org/details/howchildrendevel0000sieg,"How children develop. by Robert S. Siegler, Nancy Eisenberg, Judy S. Deloache. (2002). — FREEMAN MACMILLAN. ISBN: 9781429272681"
"Developmental Psychology: Piaget, Vygotsky, and Stages of Human Development",https://smarticle.tech/en/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Human Growth and Development,https://archive.org/details/humangrowthdevel0000sudb,Human Growth and Development. by John Sudbery. (2009). — Taylor & Francis Group. ISBN: 9781135275549
"Developmental Psychology: Piaget, Vygotsky, and Stages of Human Development",https://smarticle.tech/en/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,The education of children,https://archive.org/details/b29932026,The education of children. by Alfred Adler. (1930). — Taylor & Francis Group. ISBN: 9780786102730
"Developmental Psychology: Piaget, Vygotsky, and Stages of Human Development",https://smarticle.tech/en/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Psychologische Typen,https://archive.org/details/typespsychologiq0000jung,Psychologische Typen. by Carl Gustav Jung. (1921). — Georg. ISBN: 0691097704
"Developmental Psychology: Piaget, Vygotsky, and Stages of Human Development",https://smarticle.tech/en/article/developmental-psychology-piaget-vygotsky-and-stages-of-human-development-202605130133,Psychology,Human Behavior in the Social Environment,https://openlibrary.org/works/OL20709583W,Human Behavior in the Social Environment. by Anissa Taun Rogers. (2016). — Taylor & Francis Group. ISBN: 9781317243526
